,model_id,model,d_model,e_layers,seq_len,pred_len,c_out,batch_size,buffer_size,lr,sample_type,eq,edq,ep
871,itf_dm48_el1_sl40_pl1_co4_bs32_bfs128_lr0.0001_stlog,itf,48,1,40,1,4,32,128,0.0001,log,1.3263718276479593e-05,2.2346358242507185e-06,0.000325613462545641
895,itf_dm48_el1_sl40_pl1_co4_bs128_bfs200_lr0.0001_stlog,itf,48,1,40,1,4,128,200,0.0001,log,1.3331970813207545e-05,2.0942012036477206e-06,0.000329356132697145
291,itf_dm48_el1_sl10_pl1_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,10,1,4,16,128,0.0001,log,1.3065186916353365e-05,1.8673915534359563e-06,0.0003336725886354609
1007,itf_dm48_el1_sl40_pl3_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,40,3,4,128,500,0.0001,log,1.2619616009294202e-05,1.517424284640332e-06,0.00033368448777055203
99,itf_dm48_el1_sl5_pl3_co4_bs16_bfs128_lr0.0001_stlog,itf,48,1,5,3,4,16,128,0.0001,log,1.2764002764102873e-05,1.677913683306373e-06,0.0003339928836254932
431,itf_dm48_el1_sl10_pl3_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,10,3,4,128,500,0.0001,log,1.1700678608032031e-05,1.896249056204842e-06,0.0003347689280599893
891,itf_dm48_el1_sl40_pl1_co4_bs64_bfs200_lr0.0001_stlog,itf,48,1,40,1,4,64,200,0.0001,log,1.2818845947232293e-05,1.189450046850879e-07,0.0003352773863099424
1003,itf_dm48_el1_sl40_pl3_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,40,3,4,64,500,0.0001,log,1.2530176706196622e-05,-6.552687362593873e-08,0.0003352808263312896
1103,itf_dm48_el1_sl40_pl8_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,40,8,4,128,500,0.0001,log,1.2054858417229338e-05,4.936214711673444e-07,0.0003355638463064605
711,itf_dm48_el1_sl20_pl3_co4_bs32_bfs500_lr0.0001_stlog,itf,48,1,20,3,4,32,500,0.0001,log,1.3097860216671115e-05,2.5753256189392504e-07,0.00033571045162724994
427,itf_dm48_el1_sl10_pl3_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,10,3,4,64,500,0.0001,log,1.259623429591722e-05,6.850489315140575e-07,0.0003357383426081391
523,itf_dm48_el1_sl10_pl8_co4_bs64_bfs500_lr0.0001_stlog,itf,48,1,10,8,4,64,500,0.0001,log,1.2831450367225866e-05,1.3653748704863487e-06,0.0003359562622285289
19,itf_dm48_el1_sl5_pl1_co4_bs16_bfs200_lr0.0001_stlog,itf,48,1,5,1,4,16,200,0.0001,log,1.2828129426782544e-05,1.6735172667522134e-06,0.0003359583618878392
335,itf_dm48_el1_sl10_pl1_co4_bs128_bfs500_lr0.0001_stlog,itf,48,1,10,1,4,128,500,0.0001,log,1.1774335474875838e-05,5.15089857253126e-07,0.0003360633701246385
